Title,Picture,Object type,Material,Dimensions in cm (Height x Length x Width),Diameter in cm,Inscription and particular characteristic,Excavation ID,Museum ID,Publication ID,Tiresias data base ID,Date,Description,Bibliography
Sculpture fragment of a priest head on a backplate,files/_ac07ca7d_8dc8_4133_9658_416409bbb53d/20191101115722_COL_PHOTO_PLANCHES_DET_01_21_27_77586.png,Sculpture,Hard limestone,20 x 22 x 30,"","",294,"Palmyra, B 1913",117,77586,"","Sculpture fragment of a priest head broken from the neck down. The head is fixed on a backplate broken on all sides. The nose, the mouth, the chin and the lower part of the left cheek are damaged. The ears are folded forward. The priest wears a headdress decorated with a laurel crown and an oval medallion. A circular frame can be seen on both sides of the backplate above the ears of the priest.","Baalshamin IV, p. 112, pl. 28."
Sculpture fragments of a lying bull with a hump,files/_ac07ca7d_8dc8_4133_9658_416409bbb53d/20191101132123_COL_PHOTO_PLANCHES_DET_01_21_28_77587.png,Sculpture,Soft limestone,24 x 25 x 18,"","",276,"Palmyra, B 1908",35,77587,1st century A.D.,"Sculpture fragments of a lying bull with a hump. The right side of the three connecting fragments is broken. The back of the plate is not detailed. A broad cornice is visible on the top of the sculpture. Under the cornice, a bull is lying on his left side. The back end of the animal is missing, his front legs are folded. The head of the bull is in front view but his body is depicted in side view. A hump can be seen on the back of his neck. The skin of the animal is folded between his throat and his chest. The head is very damaged but the ears are well preserved. The hooves are missing.","Baalshamin IV, p. 94, pl. 12 ; Collart 1957, p. 85 ; Collart-Vicari 1969, p. 171, 210, pl. 103-5."
Sculpture fragment of a draped chest and a hand holding a pottery,files/_ac07ca7d_8dc8_4133_9658_416409bbb53d/20191101134121_COL_PHOTO_PLANCHES_DET_01_21_29_77588.png,Sculpture,Soft limestone,24.15 x 27 x 15,"","",295,"Palmyra, No ID",122,77588,"","Sculpture fragment of a draped chest and a hand holding a pottery. The fragment is broken on all sides. Only the draped chest, the left hand and forearm are preserved. The figure wears a tunica and a coat partly folded around the left forearm. Lying on a pillow, the left hand holds a pottery between the thumb and the forefinger. The other fingers are folded. The collar of the tunica is folded in a ""U"" shape. Behind the hand, the coat makes several vertical folds.","Baalshamin IV, p. 113, pl. 29."
Sculpture fragment of a male chest with a sword,files/_ac07ca7d_8dc8_4133_9658_416409bbb53d/20191101135822_COL_PHOTO_PLANCHES_DET_01_21_30_77589.png,Sculpture,Soft limestone,19 x 26 x 12,"","",298,"Palmyra, No ID",71,77589,"",Sculpture fragment of a male chest. The fragment is very damaged. The right forearm is folded against the chest and covered by a folded sleeve. The guard of a sword can be seen under a mutilated hand next to the part of a lamellar armor. ,"Baalshamin IV, p. 102, pl. 21."
Sculpture fragments of three bulls,files/_ac07ca7d_8dc8_4133_9658_416409bbb53d/20191101141447_COL_PHOTO_PLANCHES_DET_01_21_31_77590.png,Sculpture,Soft limestone,23.5 x 72 x 11,"","",274,"Palmyra, B 1907",36,77590,1st century A.D.,"Sculpture fragments of three bulls. The lower part of the four connecting fragments is broken. A broad cornice can be seen on top of the sculpture. The bulls are facing the right side of the fragment and are depicted in side view. The bull on the left is better preserved. Only the upper part of his body is conserved. He has a hump on the back of his neck and the skin under it is folded. His head is depicted in front view and is very damaged. Under the horns, the ears are still visible. On the middle of the sculpture, only the hump and the upper part of the head with the ears and the horns of the second bull can still be seen. Except the hump, nothing is left of the third bull that is on the right of the sculpture.","Baalshamin IV, p. 94, pl. 12 ; Collart-Vicari 1969, p. 171, 210, 227 ; Dunant 1971, p. 71, N0 59, pl. 15, 9-10."
Sculpture fragment of a draped female chest and right forearm,files/_ac07ca7d_8dc8_4133_9658_416409bbb53d/20191122090246_COL_PHOTO_PLANCHES_DET_01_19_12_77497.png,Sculpture,Soft limestone,24 x 31 x 11,"","",78,"Palmyra, No ID",145,77497 ; 78221,"","Sculpture fragment of a draped female chest and right forearm. The fragment is broken on all sides. Folds of cloth can be seen on the forearm and on the chest. The hand, positioned on the breast, is damaged. The coat is wrapped around the forearm. Locks of hair are visible on the right shoulder.","Baalshamin IV, p. 117, pl. 31."
Sculpture fragment of a male divinity sitting on a throne,files/_ac07ca7d_8dc8_4133_9658_416409bbb53d/20191122135313_COL_PHOTO_PLANCHES_DET_01_19_28_77513.png,Sculpture,Soft limestone,33 x 44 x 22,"",Inscription on the plinth.,120,"Damas, 7459",1,77512 ; 77513;  78229 ; 78233 ; 78231 ; 78232,1st century A.D.,"Sculpture fragment of a male divinity sitting on a throne. Only the inferior part of the sculpture remains, the head and the right arm are missing. The figure is depicted in front-view, sitting on a throne with the feet on a plinth. The divinity wears a tunica and a large coat forming curved folds of cloth between the legs. The folds cover the left forearm and fall down on the upper part of the throne. A bracelet can be seen on the left wrist. On the knees, the left hand holds fruit bearing branches. The coat stops at ankle level, under it, few folds of pants can be seen. Both feet are broken. Grapevine decorations can be seen on the left side of the figure. The letters of an inscription are still visible on the plinth.","Baalshamin IV, p. 81, pl. 1 ; Collart 1957, p. 85 ; Collart 1966, p. 327, 329, fig. 1 ; Collart 1967 A, p. 56 ; Collart - Vicari 1969, p. 171, 2010, pl. 103 ; Dunant 1971, p. 69, pl. 15 ; Colledge 1976 p. 25, 34 ,41, 123, 133, 135, 211, 236, 239, pl. 16 ; Collart 1986, p. 76, pl. 62 ; Schmidt - Colinet 1992, p. 98, note 326."
Sculpture fragment of a left hand,files/_ac07ca7d_8dc8_4133_9658_416409bbb53d/20191108135745_COL_PHOTO_PLANCHES_DET_01_32_08_77930.png,Sculpture,Hard limestone,17 x 8 x 5,"","",226,"Palmyra, No ID",143,77930,"",Sculpture fragment of a left hand. The top and the lower parts of the fragment are broken. The hand holds a long object that could be identified as a veil. The surface of the stone is damaged.,"Baalshamin IV, p. 116, pl. 31."
Sculpture fragments of a male head,files/_ac07ca7d_8dc8_4133_9658_416409bbb53d/20191108142355_COL_PHOTO_PLANCHES_DET_01_32_10_77932.png,Sculpture,Hard limestone,21 x 11 x 19,"","",175 ; 179,"Palmyra, B 1871",104,77932 ; 77933,"","Two connecting fragments of a male head broken from the neck down. The skull is broken, the right part of the face is missing and the nose is mutilated. A few hair strands are preserved above the left ear which is folded forward. There are two horizontal wrinkles on the forehead and two vertical ones between the eyes. The figure has almond eyes and large eyebrows. The lips are full and several incised lines depict a moustache. A light beard is represented with few facial hair on the cheeks and on the chin.","Baalshamin IV, p. 109, pl. 26."
Sculpture fragment of a draped chest,files/_ac07ca7d_8dc8_4133_9658_416409bbb53d/20191108151623_COL_PHOTO_PLANCHES_DET_01_32_12_77934.png,Sculpture,Hard limestone,16 x 19 x 10,"","",214,"Palmyra, No ID",101,77934,"","Sculpture fragment of a draped chest. The fragment is broken on all sides. The left shoulder and the upper part of the left arm are still visible. Both are draped in a folded coat that falls down from the shoulder. On the right side, a small portion of the back plate is preserved.","Baalshamin Iv, p. 108, pl. 26."
Sculpture fragment of a priest head,files/_ac07ca7d_8dc8_4133_9658_416409bbb53d/20191108152602_COL_PHOTO_PLANCHES_DET_01_32_13_78676.png,Sculpture,Hard limestone,25 x 19 x 19,"","",235,"Palmyra, B 1889",115,78676,"","Sculpture fragment of a priest head broken from the neck down. The face is very mutilated, only the left eyebrow, the left cheek and the ears folded forward are remaining. All the other facial features are damaged. The priest wears a cylindrical headdress divided into areas by several incised lines and decorated with a laurel crown and a five-petals rose on the front. Parts of a backplate are still visible. ","Baalshamin IV, p. 111, pl. 28."
Sculpture fragments of a draped male bust,files/_ac07ca7d_8dc8_4133_9658_416409bbb53d/20191115094432_COL_PHOTO_PLANCHES_DET_01_32_14_77936.png,Sculpture,Hard limestone,42 x 40 x 16,"","",104 ; 105 ; 106,"Palmyra, B 1849 ; B 1850",94,77509 ; 77936 ; 77937,"",Three connecting fragments of a draped male bust broken on all sides. The figure wears a coat twisted around the forearms. Both hands are still preserved. The left one holds laurel branches. The hand of a second figure rests on the right shoulder of the first one next to a miniature of a draped female.,"Baalshamin IV, p. 107, pl. 25."
Sculpture fragment of a male head wearing a laurel crown,files/_ac07ca7d_8dc8_4133_9658_416409bbb53d/20191115100042_COL_PHOTO_PLANCHES_DET_01_32_16_77938.png,Sculpture,Soft limestone,37 x 19 x 18,"",A vertical straight cut took the face of the figure.,223,"Palmyra, B 1885",84,77938,"","Sculpture fragment of a male head wearing a laurel crown. The surface of the stone is damaged. All of the facial features of the figure are missing because of a vertical straight cut. Only the ears, the hair and the neck wrinkles are preserved. Several rows of curls of hair can be seen on the head. On the back of the head, they fall on the neck in a ""V""shape. A tenon used to fix the head on the body of the sculpture can be seen on the lower part of the neck. The back of the head is less detailed.","Baalshamin IV, p. 105, pl. 24."
Sculpture fragment of a male figure holding a fruit basket,files/_ac07ca7d_8dc8_4133_9658_416409bbb53d/20191115103303_COL_PHOTO_PLANCHES_DET_01_32_18_77940.png,Sculpture,Hard limestone,22 x 36 x 20,"","",217,"Palmyra, B 1883",69,77940,2nd century A.D.,Sculpture fragment of a male figure holding a fruit basket. The fragment is broken from the neck up and from the hooks down. Only the chest and the arms remain. The back of the figure is not detailed. The figure wears a decorated tunica with long sleeves. The neckline and the wrists are decorated with braid of pearls and the chest has a large vertical braid with ivy tendrils motifs. The forearms are folded and the hands join each other to hold a basket of pomegranates against the chest. ,"Baalshamin IV, p. 102, pl. 21."
Sculpture fragment of a drapery with diamond decorations,files/_ac07ca7d_8dc8_4133_9658_416409bbb53d/20191115110947_COL_PHOTO_PLANCHES_DET_01_32_21_77943.png,Sculpture,Hard limestone,19 x 27 x 11,"","",219,"Palmyra, No ID",131,77943,"","Sculpture fragment of a drapery decorated with diamond motifs and incised lines. The fragment is broken on the top, on the right and on the left sides.","Baalshamin IV, p. 114, pl. 29."
Sculpture fragment of a female head wearing a decorated headdress,files/_ac07ca7d_8dc8_4133_9658_416409bbb53d/20191115111915_COL_PHOTO_PLANCHES_DET_01_32_22_77944.png,Sculpture,Hard limestone,29 x 26 x 22,"",Horizontal straight cut under the brow bone.,224,"Palmyra, B 1886",141,77944,2nd century A.D.,"Sculpture fragment of a female head wearing a headdress. The fragment is broken from the neck down and the face is missing because of an horizontal straight cut situated under the brow bone. No facial features are conserved. On the forehead, the figure wears a headband decorated with a vegetal motif on its center. The sides of the headband contain vertical braids with square motifs and square panels with diamond motifs. The sides are also decorated with protruding pearls of different sizes. Three folds of the headdress holding back a veil are visible above the headband. Curls of hair are visible above both ears. An earring can be seen on the right ear. ","Baalshamin IV, p. 116, pl. 30."
Sculpture fragment of a female chest wearing a necklace,files/_ac07ca7d_8dc8_4133_9658_416409bbb53d/20191115132422_COL_PHOTO_PLANCHES_DET_01_32_24_77946.png,Sculpture,Soft limestone,33 x 28 x 14,"","",218,"Palmyra, B 1884",146,77946,"","Sculpture fragment of a female chest broken from the hips down. The left side of the fragment is broken by a diagonal cut. The head, the left shoulder, the left arm and all the body parts situated under the hips are missing. The figure wears a long sleeves tunica decorated with a vertical braid falling from the right shoulder to the chest and containing vegetal motifs. A veil covers the right shoulder. The right arm is folded against the chest and a twisted bracelet can be seen on the wrist. The extremity of the sleeve is decorated with incised lines. Around her neck, the figure wears a necklace ending in a diamond shape. The back of the statue is not sculpted.","Baalshamin IV, p. 117, pl. 31."
Sculpture fragments of the inferior part of a standing male body,files/_ac07ca7d_8dc8_4133_9658_416409bbb53d/20191115141007_COL_PHOTO_PLANCHES_DET_01_19_07_78618.png,Sculpture,Soft limestone,97 x 50 x 30,"","",103 ; 108 ; 111 ; 112 ; 113,"Palmyra, B 1848",48,78618,"","Sculpture fragments of the inferior part of a standing male body. The right side, the top and the lower parts of the connecting fragments are broken. The feet are missing and only the upper part of the legs is preserved. Between them, a backplate can be seen. The figure wears a folded coat that falls at calves level. The folds of cloth are vertical on the left side of the statue but fall diagonally on the rest of the body. On the lower part of the left leg, the beginning of a shoe can be seen.","Baalshamin IV, p. 98, pl. 18."
Sculpture fragment of a draped male chest,files/_ac07ca7d_8dc8_4133_9658_416409bbb53d/20191122091907_COL_PHOTO_PLANCHES_DET_01_19_14_77499.png,Sculpture,Soft limestone,32 x 28 x 15,"","",145,"Palmyra, No ID",55,77493 ; 77499,"","Sculpture fragment of a draped male chest. The fragment is very damaged but  the chest, the left shoulder and the left forearm are preserved. Folds of cloth can be seen on all parts of the body.","Baalshamin IV, p. 99, pl. 19."
Sculpture fragments of a draped male statue,files/_ac07ca7d_8dc8_4133_9658_416409bbb53d/20191115151906_COL_PHOTO_PLANCHES_DET_01_19_09_77494.png,Sculpture,Hard limestone,Excavation ID 100 : 37 x 30 x 31 ; All fragments : 200 x - x - ,"","",65 ; 100 ; 141 ; 142 ; 143,"Palmyra, B 1840 ; B 1847 ; B 1858 ; B 1859",47,77494 ; 77503 ; 77504,"","Sculpture fragments of a draped male statue. Some of the fragments connect with each other. Only the left shoulder, the upper part of the left forearm, the middle part and the lower part of the body are preserved. The figure is standing with the legs slightly open. The statue is broken from the ankles down and a backplate can be seen between the legs. The figure wears a large folded coat. The folds of cloth are vertical on both sides of the legs and in a ""U"" shape on the middle of the body.","Baalshamin IV, p. 97, pl. 18."
Sculpture fragment of a standing draped male,files/_ac07ca7d_8dc8_4133_9658_416409bbb53d/20191115154750_COL_PHOTO_PLANCHES_DET_01_19_10_78619.png,Sculpture,Soft limestone,73 x 41.5 x 28,"","",71,"Damas, No ID",45,77631 ; 78619 ; 78643 ; 78644 ; 78645 ; 78646,"","Sculpture fragment of a standing draped male. The head and the inferior part of the body are missing. The right arm is folded against the chest and the left hand holds an olive branch. Both hands are damaged. The figure wears a folded tunica that forms folds of cloth in a ""U"" shape on the chest. A large coat twisted around the right forearm covers the tunica. On the neck, the hole in which the head of the statue was inserted is well preserved. The left forearm is resting alongside the body. ","Baalshamin IV, p. 97, pl. 18."
Sculpture fragment of a draped male chest,files/_ac07ca7d_8dc8_4133_9658_416409bbb53d/20191122090711_COL_PHOTO_PLANCHES_DET_01_19_13_77498.png,Sculpture,Soft limestone,18 x 38 x 17,"","",32,"Palmyra, No ID",99,77498,"",Sculpture fragment of a draped male chest. The fragment is broken on all sides and the surface of the sculpture is very mutilated. It is difficult to recognize a right forearm folded against the chest and a right hand holding vertical folds of cloth. A few vertical folds of cloth can also be seen above the elbow on the left.,"Baalshamin IV, p. 108, pl. 26."
Sculpture fragment of a folded chest in a decorated frame,files/_ac07ca7d_8dc8_4133_9658_416409bbb53d/20191122092214_COL_PHOTO_PLANCHES_DET_01_19_15_77500.png,Sculpture,Hard limestone,32 x 32.5 x 25,"","",49,"Palmyra, B 1834",158,77500,"","Sculpture fragment of a folded chest in a decorated frame. The fragment is broken on all sides. Only the inferior right angle of the frame and the upper left half of the chest remain. The frame is decorated with an alternation of heart shaped and spearhead motifs. Horizontal folds of cloth can be seen on the chest, they are horizontal on the left and vertical on the right. The figure is broken from the neck up. ","Baalshamin IV, p. 119, pl. 32."
Sculpture fragments of chair legs carved in the shape of griffons,files/_ac07ca7d_8dc8_4133_9658_416409bbb53d/20191122095315_COL_PHOTO_PLANCHES_DET_01_19_16_77501.png,Sculpture,Hard limestone,Excavation ID 80 : 30 x 12.5 x 28.5 ; 121 : 24 x 12.5 x 24 ; 163 : 29 x 14 x 28,"",Right-angled corner on the back of each fragment.,80 ; 121 ; 163,"Palmyra, B 1843 ; B 1856",192,77501,"",Sculpture fragments of chair legs carved in the shape of griffons. The back of each of the three fragments forms a right-angled corner.,"Baalshamin IV, p. 126, pl. 38."
Sculpture fragment of a female head and shoulder in a frame,files/_ac07ca7d_8dc8_4133_9658_416409bbb53d/20191122101144_COL_PHOTO_PLANCHES_DET_01_19_17_77502.png,Sculpture,Hard limestone,42 x 28 x 25,"","",144,"Palmyra, No ID",159,77502 ; 77614 ; 77615 ; 77616,1st century A.D.,Sculpture fragment of a female head and shoulder in a frame. The fragment is broken on all sides. Only the right part of the frame remains. It is decorated with heart shaped and spearhead motifs. An egg shaped motif can also be seen on the top of the sculpture. The left side of the upper part of a female body remains on the right part of the plate. The left shoulder is draped with a folded coat. The head is covered with hair and a braid is falling down on the neck. A large round earring can be seen on the ear partly hidden by hair. ,"Baalshamin IV, p. 120, pl. 32."
Sculpture fragment of a draped female chest on a backplate,files/_ac07ca7d_8dc8_4133_9658_416409bbb53d/20191122104038_COL_PHOTO_PLANCHES_DET_01_19_21_77506.png,Sculpture,Hard limestone,31 x 43 x 12.5,"","",68,"Palmyra, B 1842",102,77506,"","Sculpture fragment of a draped female bust on a backplate. The fragment is broken on all sides and the head of the figure is missing. The lower part of the body ends in a circular shape at chest-level. The figure wears a tunica and a large coat. The tunica is folded on the chest in ""V"" shaped folds of cloth. The coat falls from the left shoulder to the right forearm in a circular movement. The folds of cloth on the right shoulder are vertical. The arms are not represented. A small part of the neck is conserved on the right side of the fragment.","Baalshamin IV, p. 108, pl. 26."
Sculpture fragment of two broken legs and feet on a plinth,files/_ac07ca7d_8dc8_4133_9658_416409bbb53d/20191122111707_COL_PHOTO_PLANCHES_DET_01_19_22_77507.png,Sculpture,Soft limestone,37 x 35.5 x 38,"","",3,"Palmyra, B 1817",50,77507,"","Sculpture fragment of two broken legs and feet on a plinth. Only the lower part of the standing figure is preserved. The legs are slightly opened and a backplate can be seen between them. The left foot is missing but a right boot with shoelaces is still visible. Few fold of pants in a ""U"" shape can be seen on both legs. The back of the statue is not sculpted.","Baalshamin IV, p. 98, pl. 18."
Sculpture fragment of two draped male legs,files/_ac07ca7d_8dc8_4133_9658_416409bbb53d/20191122120746_COL_PHOTO_PLANCHES_DET_01_19_23_77508.png,Sculpture,Soft limestone,47 x 31 x 14,"",The lower part and the right side of the left leg are broken in the shape of a right-angled corner,97,"Palmyra, No ID",51,77508,"",Sculpture fragment of two draped male legs. The sculpture is broken from the knees up and the ankles down. Folds of pants are still visible on both legs and a backplate can be seen between them. The lower end of a large coat is still visible on the top of the fragment. The lower part and the right side of the left leg are broken in the shape of a right-angled corner.,"Baalshamin IV, p. 98, pl. 19."
Sculpture fragment of a framed male bust on a backplate,files/_ac07ca7d_8dc8_4133_9658_416409bbb53d/20191122125805_COL_PHOTO_PLANCHES_DET_01_19_25_77510.png,Sculpture,Hard limestone,47 x 38.5 x 11.5,"","",53,"Palmyra, B 1836",15,77510,1st century A.D.,"Sculpture fragment of a framed male bust on a backplate. The lower, the right and the left parts of the fragment are broken. A frame decorated with heart-shaped and spearhead motifs is still visible under the bust. The figure wears a tunica folded in ""U"" shapes on the chest. A large coat held on the right shoulder by a round pin disappears behind the neck of the male figure and falls down from his left shoulder. The folds of coats are vertical. A laurel crown can be seen under the hair strands. Both ears are folded forward and the eyes are wide open. The iris and the pupil are depicted with incised circles. The nose and the chin are damaged. Two hemispherical lines depict the folds of skin on the neck.","Baalshamin IV, p. 119, pl. 32."
Sculpture fragment of a standing draped male,files/_ac07ca7d_8dc8_4133_9658_416409bbb53d/20191122132127_COL_PHOTO_PLANCHES_DET_01_19_26_77511.png,Sculpture,Soft limestone,63 x 29 x 20,"","",58,"Damas, 7461",66,77511,"","Sculpture fragment of a standing draped male. The statue is broken from the neck up and the knees down. The right forearm, folded against the chest, is very damaged. The right hand holds the vertical folds of coat falling from the right shoulder. The left arm is alongside the body and is mostly naked. Only the upper part of it is covered by a short-sleeve tunica. The folds of the tunica form some ""U"" shaped folds of cloth on the chest. The folds of coat falling down from the shoulders are vertical, the others are diagonal. The back of the statue is less detailed.","Baalshamin IV, p. 101, pl. 20."
Sculpture fragment of six lions supporting three busts,files/_ac07ca7d_8dc8_4133_9658_416409bbb53d/20191129091445_COL_PHOTO_PLANCHES_DET_01_19_29_77514.png,Sculpture,Hard limestone,42 x 78 x 28,"","",48,"Palmyra, B 1833",30,77514 ; 77622 ; 77623 ; 77624 ; 77625 ; 77626 ; 77628 ; 77629 ; 77630,1st century A.D.,"Sculpture fragment of six lions supporting three busts. The upper part and the inferior left angle of the fragment are broken. The surface of the stone is very damaged on the left side. Six lions are standing side by side with their mouth open. Only their front legs are visible. The two lions on the left are damaged. Their ears are round and erect, the eyebrows are depicted with vertical and diagonal incised lines and their eyes are wide open. The iris and the the pupils are represented with two incised circles. The muzzles are protruding and the whiskers are made of curved lines. The tongues and the teeth of the animals are visible. Busts of divinities wearing military clothes can be seen above the lions. All three busts are broken from the shoulders up. The one on the left wears a tunica decorated with a braid containing pearls motifs. An armor and a few folds of cloth can be seen under it. The armor plates situated on the shoulders of the second bust are well preserved. A pin and the rounded folds of a tunica are still visible. Only the rounded folds of the tunica remain on the bust situated on the right part of the fragment.","Baalshamin IV, p. 92, pl. 11 ; Collart 1957, p. 85 ; Collart-Vicari 1969, p. 171 sqq. 227, pl. 109, 3 ; Tanabe 1986, pl. 91."
Sculpture fragment of two draped male legs standing on a plinth,files/_ac07ca7d_8dc8_4133_9658_416409bbb53d/20191129134603_COL_PHOTO_PLANCHES_DET_01_20_11_77533.png,Sculpture,Soft limestone,80 x 48 x 25,"","",242,"Palmyra, B 1895",49,77533,"",Sculpture fragment of two draped male legs standing on a plinth. Only the lower part of the body is preserved. The fragment is broken from the hips up and the ankles down. The legs are slightly open and a backplate can be see between them. A large coat creates diagonal folds falling down from the left hip to the right ankle. Vertical folds of cloth can be seen on the left leg. The back of the statue is not carved.,"Baalshamin IV, p. 98, pl. 19."
Sculpture fragment of a standing draped male,files/_ac07ca7d_8dc8_4133_9658_416409bbb53d/20191129142038_COL_PHOTO_PLANCHES_DET_01_20_14_77536.png,Sculpture,Soft limestone,144 x 43 x 30,"","",188,"Palmyra, B 1875",44,77536 ; 77537,"","Sculpture fragment of a standing draped male. The head, the right shoulder and the lower part of the legs are missing. The right forearm is folded against the chest, the right hand is mutilated. The left hand leans against the left hip and holds two laurel branches. The figure wears a tunica folded in ""V"" shapes on the chest and a large coat horizontally folded at hips-level. The folds of coat are curved between the hips and the left leg and vertical on the left leg. A fold of coat falling down from both shoulders is twisted around the right forearm. The head is missing but the hole for its fixation on the neck is still visible. ","Baalshamin IV, p. 97, pl. 17-18 ; Collart 1957, p. 85, pl. 9, 1."
Sculpture fragment of a female head wearing a headdress,files/_ac07ca7d_8dc8_4133_9658_416409bbb53d/20191129150819_COL_PHOTO_PLANCHES_DET_01_20_16_78636.png,Sculpture,Hard limestone,37 x 25 x 26,"",Vertical crack ont the right side of the face.,238,"Palmyra, B1892",14,78636,2nd century A.D.,"Sculpture fragment of a female head wearing a headdress. The head is broken from the neck down, the nose is mutilated, the eyes and the cheeks are slightly damaged. The head is long, the lips are thin and two wrinkles falling down from the lower part of the nose to each side of the mouth can be seen. The eyes are wide open under protruding eyebrows. The hair are held back by the headdress but two locks of hair are falling down on the forehead in a diamond shape. Two large and round earrings can be seen on the ears. The back of head is less detailed. Both sides of the face are cracked. ","Baalshamin IV, p. 88, pl. 7 ; Collart 1957, p. 85, pl. 8, 3 ; Collart 1963, fig. p. 44 ; Collart-Vicari 1969, p. 227, pl. 110, 1 ; Colledge 1976, p. 32 ; Augé 1944 A, p. 157 Palmyra 11."
Oil lamp with a round biconical body and a slightly protruding rounded tip,files/_ac07ca7d_8dc8_4133_9658_416409bbb53d/20191206102157_COL_PHOTO_PLANCHES_DET_01_14_36_78505.png,Oil lamp,Ceramic,"intact: 2,5 x 7,5 x -",6,Greenish-yellow tone,C. 83,"Palmyra, No ID",70,78505,"",Oil lamp with a round biconical body and a slightly protruding rounded tip. The object has greenish-yellow tone and no decorative pattern.,"Baalshamin VI, p. 49, pl. 6, n. 8 ; p. 45, abb. 3, n. 5."
Oil lamp with a round body decorated with wine and grapes motifs,files/_ac07ca7d_8dc8_4133_9658_416409bbb53d/20191206104852_COL_PHOTO_PLANCHES_DET_01_14_35_78504.png,Oil lamp,Ceramic,"2 x 7,9 x -","5,9",Brown tones and broken middle hole,C. 32,"Palmyra, No ID",64,78504,"",Oil lamp with a round body and a slightly protruding rounded tip. The wide shoulders are decorated with vines and grapes motifs. The lamp is intact except for its middle hole. The object has brown tones.,"Baalshamin VI, p. 46, pl. 5, n. 5."
Oil lamp with a very elongated rounded tip and vertical incised motifs,files/_ac07ca7d_8dc8_4133_9658_416409bbb53d/20191206111200_COL_PHOTO_PLANCHES_DET_01_14_34_78503.png,Oil lamp,Ceramic,"Intact: 2,5 x 8,5 x -","3,8 ",Orange tone,C. 6,"Palmyra, No ID",10,78503,"",Oil lamp with a very elongated rounded tip. The other extremity is rounded and slightly protruding. The body of the lamp is egg-shaped. The filling hole is embedded in a small indentation. The object has orange tone and the shoulders are decorated with vertical incised lines.,"Baalshamin VI, p. 18, pl. 1, n. 9."
Oil lamp with a rounded body decorated with a rosette and grapes motifs,files/_ac07ca7d_8dc8_4133_9658_416409bbb53d/20191206113338_COL_PHOTO_PLANCHES_DET_01_14_32_78501.png,Oil lamp,Ceramic,"2,9 x 9,9 x -","7,2",Orange tone and red slip traces,C. 69,"Palmyra, No ID",59,78501,"","Oil lamp with a rounded body and a small protruding rounded tip. On the opposite side, the handle is curved. The shoulder is large and is decorated with grapes and leaves motifs. The mirror is slightly dented and contains a rosette with 28 ray leaves. The object has orange tone and red slip traces.","Baalshamin VI, p. 46, pl. 5, n. 6 ; p. 45, abb. 3, n. 1."
"Oil lamp with a rounded body, a flat mirror and an angular tip decorated with three concentric bead rings",files/_ac07ca7d_8dc8_4133_9658_416409bbb53d/20191206131820_COL_PHOTO_PLANCHES_DET_01_13_01_78506.png,Oil lamp,Ceramic,"2 x 8,8 x -","6,3",yellow tone,C. 41,"Palmyra, No ID",15,78506,"","Oil lamp with a rounded body, a flat mirror and an angular tip. Three concentric bead rings can be seen around the middle hole. Two parallel horizontal lines are incised on the tip. The sides are also delimited by bead rings. The object has a yellow ton.","Baalshamin VI, p. 24, pl. 2, n. 7 ; p. 19, abb. 1, n. 6."
Oil lamp with a rounded body decorated with a rosette of sixteen petals and points,files/_ac07ca7d_8dc8_4133_9658_416409bbb53d/20191206135418_COL_PHOTO_PLANCHES_DET_01_37_06_78299.png,Oil lamp,Ceramic,"2,2 x 8,7 x -","6,9",Orange tone,C. 10,"Palmyra, No ID",37,78299,"","Oil lamp with a rounded body and a rosette of sixteen petals around the middle hole. Points are visible between each petals. The whole lamp is surrounded by a strong bead, which runs as a fine line on the nose base. Five points are visible on the tip and two others at the base of the fuel hole. The tip and the middle hole are broken. The object has orange tone.

","Baalshamin VI, p. 31, pl. 4, n. 1 ; p. 21, abb. 2, 5."
Oil lamp with a biconical rounded body decorated with three concentric torus beads,files/_ac07ca7d_8dc8_4133_9658_416409bbb53d/20191206143944_COL_PHOTO_PLANCHES_DET_01_37_06_782992.png,Oil lamp,Ceramic,"1,9 x 9,6 x -","7,1",Gray tone,C. 8,"Palmyra, No ID",94,78299,"","Oil lamp with a biconical rounded body and a slightly protruding attached tip. The shoulder are sloping from the fill hole. Three concentric torus beads can be seen on the flat mirror. The external part on the right of the tip is broken. The object has gray tone.

","Baalshamin VI, p. 50, pl. 6, n. 9."
Oil lamp with rounded body and four rows of pearl motifs,files/_ac07ca7d_8dc8_4133_9658_416409bbb53d/20191206154044_COL_PHOTO_PLANCHES_DET_01_37_08_783012.png,Oil lamp,Ceramic,"2,4 x 8,8 x -","6,1",Orange tone,C. 5,"Palmyra, No ID",56,78301,"",Oil lamp with rounded body and slightly protruding tip. The mirror is small and dented and the shoulder is wide and rounded. Four rows of pearl decorations can be seen on the shoulder. The object is intact and has orange tone.,"Baalshamin VI, p. 44, pl. 5, n. 7 ; p. 21, abb. 2, n. 15."
